ktc_kepler_id,sci_data_set_name,fits,start,end,duration,energy
7943602,KPLR007943602-2013011073258,0079/007943602/kplr007943602-2013011073258_llc.fits,1393.8798,1394.0228,0.143,37.22654401006567
7943602,KPLR007943602-2009350155506,0079/007943602/kplr007943602-2009350155506_llc.fits,288.8303,288.9325,0.1022,36.75424762162203
7943602,KPLR007943602-2012179063303,0079/007943602/kplr007943602-2012179063303_llc.fits,1206.8293,1206.8702,0.0409,37.14665323828245
7943602,KPLR007943602-2010355172524,0079/007943602/kplr007943602-2010355172524_llc.fits,668.9358,668.9766,0.0408,35.65467548991481
7943602,KPLR007943602-2013098041711,0079/007943602/kplr007943602-2013098041711_llc.fits,1546.1895,1546.2302,0.0407,35.98612249512088
7133286,KPLR007133286-2012004120508,0071/007133286/kplr007133286-2012004120508_llc.fits,1054.2115,1054.4772,0.2657,
7133286,KPLR007133286-2012179063303,0071/007133286/kplr007133286-2012179063303_llc.fits,1260.2239,1260.4282,0.2043,
7133286,KPLR007133286-2012179063303,0071/007133286/kplr007133286-2012179063303_llc.fits,1261.0411,1261.1433,0.1022,
7133286,KPLR007133286-2012277125453,0071/007133286/kplr007133286-2012277125453_llc.fits,1358.7971,1358.8789,0.0818,
7133286,KPLR007133286-2010355172524,0071/007133286/kplr007133286-2010355172524_llc.fits,706.4714,706.5123,0.0409,
7133286,KPLR007133286-2011271113734,0071/007133286/kplr007133286-2011271113734_llc.fits,936.0055,936.0463,0.0408,
7133286,KPLR007133286-2010355172524,0071/007133286/kplr007133286-2010355172524_llc.fits,680.5424,680.5832,0.0408,
6548447,KPLR006548447-2012004120508,0065/006548447/kplr006548447-2012004120508_llc.fits,1012.3654,1012.631,0.2656,37.10010814992512
6548447,KPLR006548447-2010174085026,0065/006548447/kplr006548447-2010174085026_llc.fits,490.0597,490.2436,0.1839,37.20115505855431
6548447,KPLR006548447-2011177032512,0065/006548447/kplr006548447-2011177032512_llc.fits,885.3079,885.4714,0.1635,37.19126550783855
6548447,KPLR006548447-2012277125453,0065/006548447/kplr006548447-2012277125453_llc.fits,1355.3645,1355.5076,0.1431,36.89008544478575
6548447,KPLR006548447-2011271113734,0065/006548447/kplr006548447-2011271113734_llc.fits,982.3083,982.4514,0.1431,36.815540825997736
6548447,KPLR006548447-2011177032512,0065/006548447/kplr006548447-2011177032512_llc.fits,889.3131,889.4357,0.1226,36.92601203767329
6548447,KPLR006548447-2011271113734,0065/006548447/kplr006548447-2011271113734_llc.fits,936.5164,936.639,0.1226,36.77666432447266
6548447,KPLR006548447-2012004120508,0065/006548447/kplr006548447-2012004120508_llc.fits,1033.8607,1033.9833,0.1226,36.415948863269385
6548447,KPLR006548447-2011271113734,0065/006548447/kplr006548447-2011271113734_llc.fits,971.3356,971.4581,0.1225,36.84649837257274
6548447,KPLR006548447-2010078095331,0065/006548447/kplr006548447-2010078095331_llc.fits,381.7186,381.8207,0.1022,36.62962753035984
6548447,KPLR006548447-2010355172524,0065/006548447/kplr006548447-2010355172524_llc.fits,675.2913,675.3935,0.1022,37.0138440665737
6548447,KPLR006548447-2009131105131,0065/006548447/kplr006548447-2009131105131_llc.fits,122.8681,122.9703,0.1022,36.09512034369817
6548447,KPLR006548447-2012277125453,0065/006548447/kplr006548447-2012277125453_llc.fits,1349.8679,1349.9497,0.0818,36.80345041572075
6548447,KPLR006548447-2013131215648,0065/006548447/kplr006548447-2013131215648_llc.fits,1577.5345,1577.6163,0.0818,35.934766261515094
6548447,KPLR006548447-2012277125453,0065/006548447/kplr006548447-2012277125453_llc.fits,1297.026,1297.1078,0.0818,36.13266777113902
6548447,KPLR006548447-2009259160929,0065/006548447/kplr006548447-2009259160929_llc.fits,213.0446,213.1264,0.0817,36.1986361762273
6548447,KPLR006548447-2009166043257,0065/006548447/kplr006548447-2009166043257_llc.fits,144.4879,144.5696,0.0817,36.22623560190712
6548447,KPLR006548447-2010355172524,0065/006548447/kplr006548447-2010355172524_llc.fits,634.1805,634.2623,0.0817,35.78835208093117
6548447,KPLR006548447-2012277125453,0065/006548447/kplr006548447-2012277125453_llc.fits,1338.4456,1338.5273,0.0817,36.26748651152619
6548447,KPLR006548447-2009350155506,0065/006548447/kplr006548447-2009350155506_llc.fits,297.2292,297.3109,0.0817,36.29987618227197
6548447,KPLR006548447-2010078095331,0065/006548447/kplr006548447-2010078095331_llc.fits,355.8095,355.8913,0.0817,36.38872406545459
6548447,KPLR006548447-2012004120508,0065/006548447/kplr006548447-2012004120508_llc.fits,1050.5338,1050.6155,0.0817,35.69662223293826
6548447,KPLR006548447-2012004120508,0065/006548447/kplr006548447-2012004120508_llc.fits,1019.6804,1019.7621,0.0817,36.35736643603705
6548447,KPLR006548447-2013011073258,0065/006548447/kplr006548447-2013011073258_llc.fits,1428.6367,1428.6981,0.0614,36.15172534448456
6548447,KPLR006548447-2010265121752,0065/006548447/kplr006548447-2010265121752_llc.fits,544.4563,544.5176,0.0613,35.75252108287905
6548447,KPLR006548447-2010174085026,0065/006548447/kplr006548447-2010174085026_llc.fits,465.3135,465.3748,0.0613,35.77253756420331
6548447,KPLR006548447-2011177032512,0065/006548447/kplr006548447-2011177032512_llc.fits,886.1049,886.1662,0.0613,35.87007592772454
6548447,KPLR006548447-2012277125453,0065/006548447/kplr006548447-2012277125453_llc.fits,1286.3389,1286.3798,0.0409,35.49261755280401
6548447,KPLR006548447-2009259160929,0065/006548447/kplr006548447-2009259160929_llc.fits,234.5408,234.5816,0.0409,35.537455715153435
6548447,KPLR006548447-2012277125453,0065/006548447/kplr006548447-2012277125453_llc.fits,1279.6569,1279.6978,0.0409,35.72774533296409
6548447,KPLR006548447-2011271113734,0065/006548447/kplr006548447-2011271113734_llc.fits,919.9443,919.9851,0.0408,35.508841713830215
10989166,KPLR010989166-2011271113734,0109/010989166/kplr010989166-2011271113734_llc.fits,949.8591,950.1043,0.2452,36.837196304466055
10989166,KPLR010989166-2011271113734,0109/010989166/kplr010989166-2011271113734_llc.fits,932.9194,933.1441,0.2247,36.676634540161366
10989166,KPLR010989166-2011271113734,0109/010989166/kplr010989166-2011271113734_llc.fits,992.2588,992.4836,0.2247,36.81399469112912
10989166,KPLR010989166-2012277125453,0109/010989166/kplr010989166-2012277125453_llc.fits,1365.4172,1365.5807,0.1635,35.91295112477681
10989166,KPLR010989166-2010265121752,0109/010989166/kplr010989166-2010265121752_llc.fits,551.3829,551.4238,0.0409,34.27641109865314
10989166,KPLR010989166-2012277125453,0109/010989166/kplr010989166-2012277125453_llc.fits,1314.5988,1314.6396,0.0408,34.55030805693577
6197038,KPLR006197038-2010265121752,0061/006197038/kplr006197038-2010265121752_llc.fits,551.3021,551.5472,0.2452,38.73165438025361
6197038,KPLR006197038-2010174085026,0061/006197038/kplr006197038-2010174085026_llc.fits,494.7195,494.9443,0.2248,37.94604036727126
6197038,KPLR006197038-2010174085026,0061/006197038/kplr006197038-2010174085026_llc.fits,511.4145,511.5575,0.143,37.85044071114916
6197038,KPLR006197038-2011271113734,0061/006197038/kplr006197038-2011271113734_llc.fits,988.4379,988.5809,0.143,37.76440012539496
6197038,KPLR006197038-2011177032512,0061/006197038/kplr006197038-2011177032512_llc.fits,818.2834,818.4061,0.1226,37.97303764892207
6197038,KPLR006197038-2010265121752,0061/006197038/kplr006197038-2010265121752_llc.fits,564.6454,564.7476,0.1022,37.444835184651126
6197038,KPLR006197038-2011073133259,0061/006197038/kplr006197038-2011073133259_llc.fits,746.9487,747.0509,0.1022,37.187225765824536
6197038,KPLR006197038-2009131105131,0061/006197038/kplr006197038-2009131105131_llc.fits,126.9148,126.9966,0.0817,37.09589945853341
6197038,KPLR006197038-2011271113734,0061/006197038/kplr006197038-2011271113734_llc.fits,941.3593,941.441,0.0817,36.74516045902199
6197038,KPLR006197038-2012277125453,0061/006197038/kplr006197038-2012277125453_llc.fits,1288.3827,1288.4644,0.0817,37.41529299477696
6197038,KPLR006197038-2010355172524,0061/006197038/kplr006197038-2010355172524_llc.fits,686.7329,686.7942,0.0613,36.68480570678883
6197038,KPLR006197038-2009259160929,0061/006197038/kplr006197038-2009259160929_llc.fits,242.6728,242.7342,0.0613,36.744698615738656
6197038,KPLR006197038-2012277125453,0061/006197038/kplr006197038-2012277125453_llc.fits,1351.5636,1351.6249,0.0613,36.58590635525479
6197038,KPLR006197038-2010078095331,0061/006197038/kplr006197038-2010078095331_llc.fits,410.244,410.3052,0.0613,36.67888028863656
6197038,KPLR006197038-2010174085026,0061/006197038/kplr006197038-2010174085026_llc.fits,467.9912,468.0525,0.0613,37.04662693384713
6197038,KPLR006197038-2010174085026,0061/006197038/kplr006197038-2010174085026_llc.fits,473.1611,473.2224,0.0613,36.60742070213555
